acousticness,analysis_url,artistPopularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,trackPopularity,track_href,type,uri,valence
0.61,https://api.spotify.com/v1/audio-analysis/0iWUW8UNkmyUa8Aa6anow6,71,0.519,231760,0.515,0iWUW8UNkmyUa8Aa6anow6,5.66e-05,5,0.107,-9.448,1,0.031,1,80.329,4,69,https://api.spotify.com/v1/tracks/0iWUW8UNkmyUa8Aa6anow6,audio_features,spotify:track:0iWUW8UNkmyUa8Aa6anow6,0.714
0.16,https://api.spotify.com/v1/audio-analysis/4OtHK3jbvvuGHc6rt5SFuT,75,0.544,191333,0.527,4OtHK3jbvvuGHc6rt5SFuT,0.0888,9,0.093,-5.167,0,0.0245,1,81.945,3,15,https://api.spotify.com/v1/tracks/4OtHK3jbvvuGHc6rt5SFuT,audio_features,spotify:track:4OtHK3jbvvuGHc6rt5SFuT,0.475
0.58,https://api.spotify.com/v1/audio-analysis/1sRVnoJA0bsfbiDCGfubNG,62,0.517,195236,0.325,1sRVnoJA0bsfbiDCGfubNG,2.63e-05,8,0.0953,-7.676,1,0.0281,1,78.75,4,13,https://api.spotify.com/v1/tracks/1sRVnoJA0bsfbiDCGfubNG,audio_features,spotify:track:1sRVnoJA0bsfbiDCGfubNG,0.216
0.86,https://api.spotify.com/v1/audio-analysis/4PuUa8e5s7P3Zv1IdCGIsa,69,0.522,296387,0.256,4PuUa8e5s7P3Zv1IdCGIsa,0.000825,10,0.142,-11.216,1,0.0258,1,76.35,4,63,https://api.spotify.com/v1/tracks/4PuUa8e5s7P3Zv1IdCGIsa,audio_features,spotify:track:4PuUa8e5s7P3Zv1IdCGIsa,0.13
0.732,https://api.spotify.com/v1/audio-analysis/2Kp3prE7jSyozQ2kT3Hiba,74,0.671,196466,0.456,2Kp3prE7jSyozQ2kT3Hiba,3.49e-06,9,0.0829,-8.313,1,0.0943,1,141.737,4,14,https://api.spotify.com/v1/tracks/2Kp3prE7jSyozQ2kT3Hiba,audio_features,spotify:track:2Kp3prE7jSyozQ2kT3Hiba,0.388
0.712,https://api.spotify.com/v1/audio-analysis/3PhvB8RB0Y7oPZUd7RCpP7,62,0.53,244267,0.2,3PhvB8RB0Y7oPZUd7RCpP7,1.07e-05,5,0.0859,-12.473,1,0.0468,1,61.255,4,64,https://api.spotify.com/v1/tracks/3PhvB8RB0Y7oPZUd7RCpP7,audio_features,spotify:track:3PhvB8RB0Y7oPZUd7RCpP7,0.357
0.0419,https://api.spotify.com/v1/audio-analysis/3xUKO8CPAguo3hJLLlaZ1C,39,0.601,190750,0.696,3xUKO8CPAguo3hJLLlaZ1C,9.19e-05,4,0.0892,-10.718,1,0.0451,1,74.977,4,53,https://api.spotify.com/v1/tracks/3xUKO8CPAguo3hJLLlaZ1C,audio_features,spotify:track:3xUKO8CPAguo3hJLLlaZ1C,0.529
0.711,https://api.spotify.com/v1/audio-analysis/2hfR9FIdzAhrWIm3F6Um5s,48,0.561,174495,0.47,2hfR9FIdzAhrWIm3F6Um5s,0.927,10,0.151,-11.503,1,0.0243,1,147.991,4,51,https://api.spotify.com/v1/tracks/2hfR9FIdzAhrWIm3F6Um5s,audio_features,spotify:track:2hfR9FIdzAhrWIm3F6Um5s,0.625
0.158,https://api.spotify.com/v1/audio-analysis/3GXeJYfUcnvdmMMyyiQqCH,44,0.629,244711,0.57,3GXeJYfUcnvdmMMyyiQqCH,0.0214,0,0.0778,-6.076,1,0.0472,1,121.021,4,24,https://api.spotify.com/v1/tracks/3GXeJYfUcnvdmMMyyiQqCH,audio_features,spotify:track:3GXeJYfUcnvdmMMyyiQqCH,0.0945
0.84,https://api.spotify.com/v1/audio-analysis/54YE9pzrjZToZSneNAXV99,67,0.544,209899,0.296,54YE9pzrjZToZSneNAXV99,9.07e-05,10,0.1,-9.424,1,0.033,1,158.253,4,59,https://api.spotify.com/v1/tracks/54YE9pzrjZToZSneNAXV99,audio_features,spotify:track:54YE9pzrjZToZSneNAXV99,0.389
0.731,https://api.spotify.com/v1/audio-analysis/5mdooqkfMvf7LtIFKReUYg,80,0.533,226160,0.32,5mdooqkfMvf7LtIFKReUYg,1.65e-05,8,0.154,-8.819,1,0.0316,1,98.036,4,61,https://api.spotify.com/v1/tracks/5mdooqkfMvf7LtIFKReUYg,audio_features,spotify:track:5mdooqkfMvf7LtIFKReUYg,0.291
0.217,https://api.spotify.com/v1/audio-analysis/5EYi2rH4LYs6M21ZLOyQTx,80,0.756,155720,0.609,5EYi2rH4LYs6M21ZLOyQTx,0.00474,3,0.096,-7.927,1,0.0544,1,117.023,4,81,https://api.spotify.com/v1/tracks/5EYi2rH4LYs6M21ZLOyQTx,audio_features,spotify:track:5EYi2rH4LYs6M21ZLOyQTx,0.537
0.251,https://api.spotify.com/v1/audio-analysis/6LzW9o1L03Z4evpcVqtdcy,36,0.613,186541,0.793,6LzW9o1L03Z4evpcVqtdcy,0.00118,11,0.117,-5.241,1,0.0269,1,116.03,4,50,https://api.spotify.com/v1/tracks/6LzW9o1L03Z4evpcVqtdcy,audio_features,spotify:track:6LzW9o1L03Z4evpcVqtdcy,0.755
0.4,https://api.spotify.com/v1/audio-analysis/0ujUFGhFhoNJ0HXNWsVWeg,68,0.78,260960,0.529,0ujUFGhFhoNJ0HXNWsVWeg,0.00571,6,0.0766,-7.063,0,0.0642,1,146.39,4,15,https://api.spotify.com/v1/tracks/0ujUFGhFhoNJ0HXNWsVWeg,audio_features,spotify:track:0ujUFGhFhoNJ0HXNWsVWeg,0.704
0.00114,https://api.spotify.com/v1/audio-analysis/0i5QVxsK3IvEDbUjTA64Li,67,0.541,198600,0.616,0i5QVxsK3IvEDbUjTA64Li,1.09e-06,0,0.151,-6.53,1,0.028,1,144.218,4,66,https://api.spotify.com/v1/tracks/0i5QVxsK3IvEDbUjTA64Li,audio_features,spotify:track:0i5QVxsK3IvEDbUjTA64Li,0.203
0.0332,https://api.spotify.com/v1/audio-analysis/0im9iFcLT5D6pNl85H9mRI,79,0.557,216360,0.847,0im9iFcLT5D6pNl85H9mRI,0.0,10,0.631,-3.511,1,0.0394,1,128.044,4,61,https://api.spotify.com/v1/tracks/0im9iFcLT5D6pNl85H9mRI,audio_features,spotify:track:0im9iFcLT5D6pNl85H9mRI,0.67
0.84,https://api.spotify.com/v1/audio-analysis/2VUjaisIsYOXaajDPlfVLT,62,0.277,173240,0.361,2VUjaisIsYOXaajDPlfVLT,0.397,8,0.128,-11.157,1,0.03,1,135.309,4,62,https://api.spotify.com/v1/tracks/2VUjaisIsYOXaajDPlfVLT,audio_features,spotify:track:2VUjaisIsYOXaajDPlfVLT,0.294
0.48,https://api.spotify.com/v1/audio-analysis/2fmzK2KKJSiaCdcb4xflzE,54,0.585,236773,0.575,2fmzK2KKJSiaCdcb4xflzE,0.0169,11,0.113,-7.72,0,0.0335,1,104.009,4,57,https://api.spotify.com/v1/tracks/2fmzK2KKJSiaCdcb4xflzE,audio_features,spotify:track:2fmzK2KKJSiaCdcb4xflzE,0.327
0.615,https://api.spotify.com/v1/audio-analysis/5gqFropVRiuJylnFZDg1rv,40,0.69,276125,0.268,5gqFropVRiuJylnFZDg1rv,0.493,9,0.106,-10.277,1,0.0335,1,130.608,4,49,https://api.spotify.com/v1/tracks/5gqFropVRiuJylnFZDg1rv,audio_features,spotify:track:5gqFropVRiuJylnFZDg1rv,0.359
0.491,https://api.spotify.com/v1/audio-analysis/3TpXajg1nKzG3ngc9tBwrD,69,0.772,210240,0.256,3TpXajg1nKzG3ngc9tBwrD,0.00612,7,0.144,-8.545,0,0.0481,1,118.902,3,73,https://api.spotify.com/v1/tracks/3TpXajg1nKzG3ngc9tBwrD,audio_features,spotify:track:3TpXajg1nKzG3ngc9tBwrD,0.357
0.891,https://api.spotify.com/v1/audio-analysis/7412fpVfB2PSSb1nENQczC,67,0.498,215180,0.502,7412fpVfB2PSSb1nENQczC,0.000907,2,0.0716,-8.052,1,0.0371,1,81.169,4,66,https://api.spotify.com/v1/tracks/7412fpVfB2PSSb1nENQczC,audio_features,spotify:track:7412fpVfB2PSSb1nENQczC,0.286
0.575,https://api.spotify.com/v1/audio-analysis/1AUA1F8HP6slXBYPbxTJ2J,36,0.683,198413,0.713,1AUA1F8HP6slXBYPbxTJ2J,0.0101,6,0.108,-6.217,0,0.0336,1,122.954,4,49,https://api.spotify.com/v1/tracks/1AUA1F8HP6slXBYPbxTJ2J,audio_features,spotify:track:1AUA1F8HP6slXBYPbxTJ2J,0.742
0.699,https://api.spotify.com/v1/audio-analysis/4Q6Kuze3wNMQRjamyBjHUR,71,0.494,284000,0.194,4Q6Kuze3wNMQRjamyBjHUR,2.98e-05,0,0.0803,-8.965,1,0.0352,1,135.753,3,21,https://api.spotify.com/v1/tracks/4Q6Kuze3wNMQRjamyBjHUR,audio_features,spotify:track:4Q6Kuze3wNMQRjamyBjHUR,0.161
